x: 11011100 220  y: 11011100 250
x: 01000011 67  y: 01000011 51
x: 01000110 70  y: 01000110 14
x: 01100111 103  y: 01100111 185
x: 01110111 119  y: 01110111 32
x: 00100111 39  y: 00100111 155
x: 00000111 7  y: 00000111 15
x: 10111011 187  y: 10111011 148
x: 00000111 7  y: 00000111 121
x: 00100111 39  y: 00100111 174
x: 10111111 191  y: 10111111 244
x: 10100000 160  y: 10100000 165
x: 10010100 148  y: 10010100 173
x: 11111100 252  y: 11111100 84
x: 10001001 137  y: 10001001 223
x: 11000011 195  y: 11000011 72
x: 10001000 136  y: 10001000 171
x: 10101010 170  y: 10101010 174
x: 00101100 44  y: 00101100 238
x: 10000101 133  y: 10000101 48
x: 00110010 50  y: 00110010 133
x: 11101111 239  y: 11101111 204
x: 11001111 207  y: 11001111 238
x: 11000101 197  y: 11000101 95
x: 01101001 105  y: 01101001 8
x: 00110110 54  y: 00110110 67
x: 10001110 142  y: 10001110 147
x: 10111000 184  y: 10111000 101
x: 00001110 14  y: 00001110 157
x: 00001010 10  y: 00001010 250
x: 01110111 119  y: 01110111 65
x: 10100001 161  y: 10100001 9
x: 11001101 205  y: 11001101 62
x: 10100101 165  y: 10100101 111
x: 10101011 171  y: 10101011 24
x: 00000111 7  y: 00000111 179
x: 11001001 201  y: 11001001 164
x: 11000100 196  y: 11000100 88
x: 01011010 90  y: 01011010 221
x: 00000001 1  y: 00000001 213
x: 01001001 73  y: 01001001 115
x: 01000111 71  y: 01000111 122
x: 00000110 6  y: 00000110 62
x: 00010001 17  y: 00010001 143
x: 10000100 132  y: 10000100 229
x: 00100101 37  y: 00100101 16
x: 11011101 221  y: 11011101 54
x: 10000101 133  y: 10000101 1
x: 01111001 121  y: 01111001 18
x: 11101110 238  y: 11101110 219
x: 10101000 168  y: 10101000 39
x: 00011110 30  y: 00011110 62
x: 01010001 81  y: 01010001 34
x: 11100100 228  y: 11100100 125
x: 11111110 254  y: 11111110 212
x: 01011100 92  y: 01011100 124
x: 00110001 49  y: 00110001 56
x: 11111010 250  y: 11111010 187
x: 11001111 207  y: 11001111 244
x: 10100101 165  y: 10100101 153
x: 00000000 0  y: 00000000 22
x: 11101110 238  y: 11101110 208
x: 11000101 197  y: 11000101 93
x: 11000011 195  y: 11000011 234
x: 01000010 66  y: 01000010 17
x: 01010111 87  y: 01010111 41
x: 10000001 129  y: 10000001 150
x: 10001101 141  y: 10001101 166
x: 11111101 253  y: 11111101 179
x: 11011011 219  y: 11011011 4
x: 00011101 29  y: 00011101 249
x: 10000000 128  y: 10000000 139
x: 01001111 79  y: 01001111 226
x: 10110100 180  y: 10110100 9
x: 10011100 156  y: 10011100 219
x: 11110000 240  y: 11110000 90
x: 10011111 159  y: 10011111 136
x: 00110010 50  y: 00110010 19
x: 11110101 245  y: 11110101 122
x: 11111101 253  y: 11111101 51
x: 00010001 17  y: 00010001 15
x: 11110101 245  y: 11110101 85
x: 00100100 36  y: 00100100 121
x: 10110010 178  y: 10110010 193
x: 00110011 51  y: 00110011 202
x: 00110011 51  y: 00110011 55
x: 11100111 231  y: 11100111 163
x: 11011010 218  y: 11011010 170
x: 11001111 207  y: 11001111 189
x: 01011101 93  y: 01011101 160
x: 10000110 134  y: 10000110 170
x: 11001010 202  y: 11001010 125
x: 11110111 247  y: 11110111 155
x: 00000111 7  y: 00000111 105
x: 01001010 74  y: 01001010 212
x: 11100111 231  y: 11100111 69
x: 10110001 177  y: 10110001 15
x: 01001010 74  y: 01001010 148
x: 01111011 123  y: 01111011 59
x: 11110101 245  y: 11110101 129
x: 01111110 126  y: 01111110 152
x: 00000011 3  y: 00000011 205
x: 10010101 149  y: 10010101 213
x: 10011011 155  y: 10011011 24
x: 10001000 136  y: 10001000 204
x: 11110010 242  y: 11110010 36
x: 01111000 120  y: 01111000 3
x: 00101101 45  y: 00101101 101
x: 00101100 44  y: 00101100 102
x: 10001101 141  y: 10001101 83
x: 10000001 129  y: 10000001 240
x: 01001111 79  y: 01001111 23
x: 11111000 248  y: 11111000 238
x: 01111110 126  y: 01111110 2
x: 00110100 52  y: 00110100 187
x: 01001100 76  y: 01001100 116
x: 01011110 94  y: 01011110 104
x: 10011000 152  y: 10011000 76
x: 11110111 247  y: 11110111 187
x: 10000001 129  y: 10000001 39
x: 11110011 243  y: 11110011 216
x: 01110000 112  y: 01110000 183
x: 01111011 123  y: 01111011 223
x: 11110111 247  y: 11110111 120
x: 11011001 217  y: 11011001 146
x: 00100000 32  y: 00100000 108
x: 00111110 62  y: 00111110 93
x: 01001011 75  y: 01001011 215
x: 01111111 127  y: 01111111 18
x: 01010110 86  y: 01010110 17
x: 00011101 29  y: 00011101 238
x: 10010010 146  y: 10010010 135
x: 11010111 215  y: 11010111 45
x: 10011010 154  y: 10011010 141
x: 01110110 118  y: 01110110 57
x: 01110100 116  y: 01110100 52
x: 10101010 170  y: 10101010 53
x: 11001001 201  y: 11001001 76
x: 10010111 151  y: 10010111 95
x: 11000001 193  y: 11000001 209
x: 01011001 89  y: 01011001 192
x: 01111111 127  y: 01111111 16
x: 01011110 94  y: 01011110 168
x: 01111000 120  y: 01111000 105
x: 01001000 72  y: 01001000 63
x: 11100010 226  y: 11100010 37
x: 01110101 117  y: 01110101 234
x: 01110110 118  y: 01110110 39
x: 00000101 5  y: 00000101 160
x: 11000110 198  y: 11000110 242
x: 00100001 33  y: 00100001 189
x: 01110101 117  y: 01110101 6
x: 11111100 252  y: 11111100 47
x: 01011111 95  y: 01011111 154
x: 01010110 86  y: 01010110 86
x: 01110111 119  y: 01110111 7
x: 11001010 202  y: 11001010 175
x: 10001100 140  y: 10001100 25
x: 11010111 215  y: 11010111 134
x: 10100100 164  y: 10100100 77
x: 00101101 45  y: 00101101 79
x: 10001001 137  y: 10001001 124
x: 00111111 63  y: 00111111 194
x: 10000110 134  y: 10000110 47
x: 00110011 51  y: 00110011 142
x: 00101001 41  y: 00101001 219
x: 01000111 71  y: 01000111 130
x: 11000001 193  y: 11000001 8
x: 11011101 221  y: 11011101 102
x: 00000011 3  y: 00000011 8
x: 11110000 240  y: 11110000 76
x: 10100001 161  y: 10100001 109
x: 00000010 2  y: 00000010 182
x: 00100111 39  y: 00100111 46
x: 11010100 212  y: 11010100 132
x: 10001011 139  y: 10001011 34
x: 10110110 182  y: 10110110 101
x: 11010110 214  y: 11010110 47
x: 10000000 128  y: 10000000 127
x: 00101000 40  y: 00101000 26
x: 10100101 165  y: 10100101 32
x: 10000100 132  y: 10000100 10
x: 00110100 52  y: 00110100 254
x: 11101110 238  y: 11101110 53
x: 10000111 135  y: 10000111 195
x: 01010111 87  y: 01010111 248
x: 11010111 215  y: 11010111 138
x: 10101010 170  y: 10101010 251
x: 00110100 52  y: 00110100 18
x: 01010100 84  y: 01010100 200
x: 01010110 86  y: 01010110 155
x: 10110011 179  y: 10110011 229
x: 11111110 254  y: 11111110 41
x: 00110001 49  y: 00110001 167
x: 11100001 225  y: 11100001 120
x: 11001001 201  y: 11001001 176
x: 01010010 82  y: 01010010 61
x: 10101101 173  y: 10101101 65
x: 11011101 221  y: 11011101 100
x: 01010110 86  y: 01010110 226
x: 00111001 57  y: 00111001 150
x: 10011111 159  y: 10011111 135
x: 10010000 144  y: 10010000 245
x: 01101000 104  y: 01101000 54
x: 01111000 120  y: 01111000 254
x: 10011010 154  y: 10011010 205
x: 01001000 72  y: 01001000 194
x: 11011011 219  y: 11011011 147
x: 11011111 223  y: 11011111 190
x: 01010001 81  y: 01010001 141
x: 10011011 155  y: 10011011 205
x: 00100110 38  y: 00100110 170
x: 11100011 227  y: 11100011 249
x: 10001011 139  y: 10001011 87
x: 11110000 240  y: 11110000 203
x: 01010010 82  y: 01010010 51
x: 01011000 88  y: 01011000 205
x: 10110111 183  y: 10110111 175
x: 11101110 238  y: 11101110 138
x: 10000101 133  y: 10000101 106
x: 00110101 53  y: 00110101 22
x: 10101100 172  y: 10101100 10
x: 10010010 146  y: 10010010 113
x: 01110110 118  y: 01110110 58
x: 00010100 20  y: 00010100 48
x: 10111100 188  y: 10111100 143
x: 10100110 166  y: 10100110 210
x: 00100111 39  y: 00100111 233
x: 00101110 46  y: 00101110 143
x: 11011001 217  y: 11011001 23
x: 11101101 237  y: 11101101 183
x: 00100110 38  y: 00100110 178
x: 10001111 143  y: 10001111 166
x: 10011101 157  y: 10011101 238
x: 10011101 157  y: 10011101 11
x: 00111000 56  y: 00111000 171
x: 11111000 248  y: 11111000 19
x: 10110000 176  y: 10110000 47
x: 01001100 76  y: 01001100 143
x: 00010101 21  y: 00010101 230
x: 10001010 138  y: 10001010 177
x: 01101110 110  y: 01101110 175
x: 10110101 181  y: 10110101 70
x: 00111101 61  y: 00111101 69
x: 10110011 179  y: 10110011 224
x: 01101111 111  y: 01101111 70
x: 00111100 60  y: 00111100 30
x: 10111001 185  y: 10111001 90
x: 01100001 97  y: 01100001 85
x: 00110110 54  y: 00110110 15
x: 00101110 46  y: 00101110 107
x: 10110010 178  y: 10110010 192
x: 11111000 248  y: 11111000 216
x: 00101010 42  y: 00101010 35
x: 10101100 172  y: 10101100 246
x: 11010001 209  y: 11010001 168
x: 10001110 142  y: 10001110 71
x: 11101001 233  y: 11101001 6
x: 00011110 30  y: 00011110 117
x: 01101010 106  y: 01101010 224
x: 00111010 58  y: 00111010 243
x: 10010111 151  y: 10010111 12
x: 11110100 244  y: 11110100 113
x: 01010001 81  y: 01010001 105
x: 01110101 117  y: 01110101 233
x: 00010011 19  y: 00010011 229
x: 11000000 192  y: 11000000 160
x: 10001100 140  y: 10001100 62
x: 11011101 221  y: 11011101 209
x: 11111110 254  y: 11111110 255
x: 11100100 228  y: 11100100 26
x: 00110001 49  y: 00110001 87
x: 01011010 90  y: 01011010 68
x: 10010101 149  y: 10010101 2
x: 00001111 15  y: 00001111 198
x: 00101000 40  y: 00101000 21
x: 01000000 64  y: 01000000 193
x: 11010110 214  y: 11010110 29
x: 00010100 20  y: 00010100 111
x: 10001011 139  y: 10001011 252
x: 01101100 108  y: 01101100 175
x: 00111111 63  y: 00111111 237
x: 11010101 213  y: 11010101 176
x: 00100011 35  y: 00100011 126
x: 11000101 197  y: 11000101 164
x: 01101000 104  y: 01101000 74
x: 10011101 157  y: 10011101 40
x: 01100001 97  y: 01100001 45
x: 01010010 82  y: 01010010 144
x: 11111101 253  y: 11111101 193
x: 00111011 59  y: 00111011 119
x: 10000100 132  y: 10000100 146
x: 00000000 0  y: 00000000 248
x: 11010100 212  y: 11010100 93
x: 11001110 206  y: 11001110 30
x: 00111011 59  y: 00111011 20
x: 00001110 14  y: 00001110 63
x: 00101011 43  y: 00101011 221
x: 11100011 227  y: 11100011 16
x: 10000001 129  y: 10000001 121
x: 00110110 54  y: 00110110 54
x: 10001110 142  y: 10001110 9
x: 01010111 87  y: 01010111 13
x: 01000011 67  y: 01000011 16
x: 00011100 28  y: 00011100 13
x: 01010010 82  y: 01010010 88
x: 10100110 166  y: 10100110 183
x: 10100101 165  y: 10100101 113
x: 10000001 129  y: 10000001 168
x: 11101111 239  y: 11101111 93
x: 00011110 30  y: 00011110 95
x: 01111111 127  y: 01111111 68
x: 01110011 115  y: 01110011 90
x: 10011000 152  y: 10011000 147
x: 10110000 176  y: 10110000 41
x: 11111001 249  y: 11111001 114
x: 11101011 235  y: 11101011 76
x: 10101000 168  y: 10101000 154
x: 01101010 106  y: 01101010 189
x: 01001111 79  y: 01001111 52
x: 01000001 65  y: 01000001 79
x: 00110001 49  y: 00110001 192
x: 10111100 188  y: 10111100 95
x: 01010010 82  y: 01010010 136
x: 00001100 12  y: 00001100 74
x: 10010011 147  y: 10010011 169
x: 00001001 9  y: 00001001 152
x: 10011010 154  y: 10011010 168
x: 00100001 33  y: 00100001 69
x: 11011010 218  y: 11011010 192
x: 00001000 8  y: 00001000 135
x: 01001110 78  y: 01001110 235
x: 10010011 147  y: 10010011 109
x: 10111111 191  y: 10111111 39
x: 01111010 122  y: 01111010 5
x: 00110101 53  y: 00110101 9
x: 10000110 134  y: 10000110 126
x: 10011111 159  y: 10011111 57
x: 00110011 51  y: 00110011 210
x: 11011110 222  y: 11011110 95
x: 00011010 26  y: 00011010 189
x: 01000010 66  y: 01000010 94
x: 10101011 171  y: 10101011 176
x: 01101000 104  y: 01101000 42
x: 10111100 188  y: 10111100 161
x: 10100001 161  y: 10100001 112
x: 10001001 137  y: 10001001 9
x: 10111111 191  y: 10111111 64
x: 01000100 68  y: 01000100 181
x: 01111101 125  y: 01111101 145
x: 00110101 53  y: 00110101 156
x: 11100000 224  y: 11100000 185
x: 11101111 239  y: 11101111 166
x: 00011101 29  y: 00011101 25
x: 00010100 20  y: 00010100 191
x: 01101110 110  y: 01101110 48
x: 10110101 181  y: 10110101 184
x: 01000001 65  y: 01000001 7
x: 01101100 108  y: 01101100 227
x: 10010110 150  y: 10010110 162
x: 01001001 73  y: 01001001 80
x: 10100101 165  y: 10100101 160
x: 10101100 172  y: 10101100 69
x: 11101111 239  y: 11101111 67
x: 11101101 237  y: 11101101 197
x: 01111000 120  y: 01111000 168
x: 11010110 214  y: 11010110 186
x: 00010000 16  y: 00010000 20
x: 01010010 82  y: 01010010 1
x: 10100010 162  y: 10100010 51
x: 10010010 146  y: 10010010 237
x: 00100011 35  y: 00100011 92
x: 10001010 138  y: 10001010 33
x: 01101011 107  y: 01101011 158
x: 10011110 158  y: 10011110 16
x: 10001011 139  y: 10001011 201
x: 10111000 184  y: 10111000 81
x: 10001010 138  y: 10001010 241
x: 10010111 151  y: 10010111 237
x: 11000101 197  y: 11000101 141
x: 10000011 131  y: 10000011 214
x: 01111010 122  y: 01111010 166
x: 10010011 147  y: 10010011 94
x: 00011101 29  y: 00011101 107
x: 00000011 3  y: 00000011 106
x: 00100101 37  y: 00100101 142
x: 00111100 60  y: 00111100 87
x: 11110111 247  y: 11110111 250
x: 00011000 24  y: 00011000 171
x: 10000000 128  y: 10000000 180
x: 11110001 241  y: 11110001 133
x: 11011001 217  y: 11011001 115
x: 01110110 118  y: 01110110 160
x: 10000101 133  y: 10000101 151
x: 01110000 112  y: 01110000 89
x: 11111010 250  y: 11111010 13
x: 11111101 253  y: 11111101 196
x: 10001010 138  y: 10001010 72
x: 11011100 220  y: 11011100 230
x: 11100111 231  y: 11100111 151
x: 11110100 244  y: 11110100 138
x: 11011111 223  y: 11011111 85
x: 10000100 132  y: 10000100 199
x: 00111110 62  y: 00111110 121
x: 00111100 60  y: 00111100 177
x: 10110001 177  y: 10110001 166
x: 01010111 87  y: 01010111 169
x: 01110110 118  y: 01110110 182
x: 01100011 99  y: 01100011 92
x: 10010010 146  y: 10010010 143
x: 01100111 103  y: 01100111 197
x: 01101010 106  y: 01101010 167
x: 00000111 7  y: 00000111 185
x: 10101100 172  y: 10101100 174
x: 11110000 240  y: 11110000 77
x: 00000110 6  y: 00000110 108
x: 11001011 203  y: 11001011 191
x: 00111000 56  y: 00111000 52
x: 01101110 110  y: 01101110 39
x: 00001010 10  y: 00001010 185
x: 00000100 4  y: 00000100 76
x: 00001010 10  y: 00001010 41
x: 01100100 100  y: 01100100 55
x: 10101010 170  y: 10101010 23
x: 00001010 10  y: 00001010 220
x: 00011101 29  y: 00011101 174
x: 10000110 134  y: 10000110 15
x: 00110100 52  y: 00110100 230
x: 11101101 237  y: 11101101 209
x: 01110001 113  y: 01110001 213
x: 10011011 155  y: 10011011 21
x: 00111101 61  y: 00111101 19
x: 11011100 220  y: 11011100 223
x: 10111101 189  y: 10111101 74
x: 00000001 1  y: 00000001 233
x: 00111000 56  y: 00111000 236
x: 00000011 3  y: 00000011 0
x: 10001111 143  y: 10001111 120
x: 10011000 152  y: 10011000 70
x: 11111001 249  y: 11111001 173
x: 11010110 214  y: 11010110 219
x: 00001101 13  y: 00001101 218
x: 00010000 16  y: 00010000 26
x: 11001110 206  y: 11001110 84
x: 01001001 73  y: 01001001 13
x: 01100100 100  y: 01100100 112
x: 11110001 241  y: 11110001 149
x: 11001011 203  y: 11001011 228
x: 00110011 51  y: 00110011 120
x: 01010111 87  y: 01010111 135
x: 10010001 145  y: 10010001 16
x: 10010101 149  y: 10010101 145
x: 11001101 205  y: 11001101 151
x: 10011001 153  y: 10011001 112
x: 00011011 27  y: 00011011 168
x: 00111111 63  y: 00111111 84
x: 10111111 191  y: 10111111 178
x: 00111100 60  y: 00111100 75
x: 11011100 220  y: 11011100 100
x: 11010111 215  y: 11010111 21
x: 00001110 14  y: 00001110 213
x: 11111111 255  y: 11111111 183
x: 11110001 241  y: 11110001 52
x: 01111110 126  y: 01111110 136
x: 00010000 16  y: 00010000 14
x: 00001100 12  y: 00001100 205
x: 10010011 147  y: 10010011 216
x: 10111100 188  y: 10111100 118
x: 10100110 166  y: 10100110 167
x: 01000111 71  y: 01000111 1
x: 10100001 161  y: 10100001 70
x: 10111110 190  y: 10111110 96
x: 00111101 61  y: 00111101 20
x: 10110101 181  y: 10110101 23
x: 00110101 53  y: 00110101 43
x: 10110111 183  y: 10110111 9
x: 10001101 141  y: 10001101 112
x: 01111110 126  y: 01111110 139
x: 00101111 47  y: 00101111 40
x: 01001001 73  y: 01001001 0
x: 11110111 247  y: 11110111 236
x: 01110101 117  y: 01110101 5
x: 11011010 218  y: 11011010 58
x: 01101010 106  y: 01101010 27
x: 00101000 40  y: 00101000 56
x: 10001100 140  y: 10001100 35
x: 10001010 138  y: 10001010 229
x: 10110111 183  y: 10110111 131
x: 10011100 156  y: 10011100 177
x: 01111101 125  y: 01111101 28
x: 10110000 176  y: 10110000 181
x: 11011011 219  y: 11011011 1
x: 01000001 65  y: 01000001 252
x: 01110111 119  y: 01110111 222
x: 00001000 8  y: 00001000 118
x: 01010111 87  y: 01010111 227
x: 00001100 12  y: 00001100 19
x: 00010100 20  y: 00010100 162
x: 00101111 47  y: 00101111 94
x: 10111100 188  y: 10111100 65
x: 11011010 218  y: 11011010 244
x: 01010001 81  y: 01010001 30
x: 11111111 255  y: 11111111 209
x: 01011011 91  y: 01011011 0
x: 11000111 199  y: 11000111 24
x: 10111000 184  y: 10111000 35
x: 11000000 192  y: 11000000 85
x: 00101001 41  y: 00101001 44
x: 10000001 129  y: 10000001 35
x: 01000010 66  y: 01000010 164
x: 00110011 51  y: 00110011 49
x: 00101000 40  y: 00101000 54
x: 01010001 81  y: 01010001 21
x: 00010010 18  y: 00010010 69
x: 01110111 119  y: 01110111 183
x: 01100101 101  y: 01100101 46
x: 01011011 91  y: 01011011 207
x: 01111111 127  y: 01111111 180
x: 11001000 200  y: 11001000 75
x: 11110001 241  y: 11110001 183
x: 11100000 224  y: 11100000 14
x: 00100101 37  y: 00100101 232
x: 10001101 141  y: 10001101 113
x: 11000100 196  y: 11000100 111
x: 01110011 115  y: 01110011 105
x: 01010000 80  y: 01010000 231
x: 11010100 212  y: 11010100 5
x: 10100010 162  y: 10100010 222
x: 00010000 16  y: 00010000 206
x: 01010010 82  y: 01010010 113
x: 10000010 130  y: 10000010 245
x: 11001001 201  y: 11001001 186
x: 11100000 224  y: 11100000 130
x: 10001011 139  y: 10001011 160
x: 10101000 168  y: 10101000 64
x: 11000110 198  y: 11000110 242
x: 10100010 162  y: 10100010 147
x: 01011101 93  y: 01011101 55
x: 00001010 10  y: 00001010 209
x: 10101101 173  y: 10101101 99
x: 00111001 57  y: 00111001 88
x: 01010000 80  y: 01010000 27
x: 01111000 120  y: 01111000 60
x: 10101000 168  y: 10101000 31
x: 00011010 26  y: 00011010 73
x: 11101110 238  y: 11101110 55
x: 10100100 164  y: 10100100 234
x: 00000001 1  y: 00000001 45
x: 01001001 73  y: 01001001 173
x: 11011000 216  y: 11011000 61
x: 11010110 214  y: 11010110 123
x: 10000111 135  y: 10000111 225
x: 11101111 239  y: 11101111 138
x: 00111111 63  y: 00111111 95
x: 01001100 76  y: 01001100 241
x: 11011011 219  y: 11011011 149
x: 11100101 229  y: 11100101 199
x: 00010001 17  y: 00010001 193
x: 01010101 85  y: 01010101 172
x: 11110110 246  y: 11110110 227
x: 10100111 167  y: 10100111 136
x: 01110001 113  y: 01110001 184
x: 00110110 54  y: 00110110 253
x: 11100101 229  y: 11100101 203
x: 01000111 71  y: 01000111 49
x: 01001001 73  y: 01001001 203
x: 10111000 184  y: 10111000 32
x: 10000100 132  y: 10000100 156
x: 11111101 253  y: 11111101 47
x: 10001101 141  y: 10001101 99
x: 10100011 163  y: 10100011 12
x: 11011110 222  y: 11011110 110
x: 00000000 0  y: 00000000 248
x: 10110001 177  y: 10110001 237
x: 01111100 124  y: 01111100 139
x: 10010010 146  y: 10010010 55
x: 10111111 191  y: 10111111 76
x: 00110010 50  y: 00110010 140
x: 11110100 244  y: 11110100 80
x: 11101011 235  y: 11101011 212
x: 11101111 239  y: 11101111 19
x: 11001001 201  y: 11001001 126
x: 11111011 251  y: 11111011 76
x: 01011010 90  y: 01011010 159
x: 00111000 56  y: 00111000 165
